BioRep,Genome,Isodecoder,CCA,CC
2,Plastid,TyrGTA,290267,161696
2,Plastid,ValGAC,11580,5282
2,Plastid,ValTAC,31683,20627
3,Mitochondrial,AsnGTT,28074,9629
3,Mitochondrial,AspGTC,4163,4640
3,Mitochondrial,CysGCA,11886,11546
3,Mitochondrial,GlnTTG,993,568
3,Mitochondrial,GluTTC,3167,5585
3,Mitochondrial,GlyGCC,3381,2515
3,Mitochondrial,HisGTG,7624,5792
3,Mitochondrial,IleCAT,432,347
3,Mitochondrial,LysTTT,1045,1050
3,Mitochondrial,Met(e)CAT,1121,714
3,Mitochondrial,Met(i)CAT,578,189
3,Mitochondrial,ProTGG,1136,430
3,Mitochondrial,SerGCT,2174,770
3,Mitochondrial,SerGGA,483,203
3,Mitochondrial,SerTGA,2830,1194
3,Mitochondrial,TrpCCA,155,120
3,Mitochondrial,TyrGTA,3003,2328
3,Nuclear,AlaAGC,99512,181452
3,Nuclear,AlaCGC,41309,71560
3,Nuclear,AlaTGC,67601,126990
3,Nuclear,ArgACG,66698,89247
3,Nuclear,ArgCCG,68531,66739
3,Nuclear,ArgCCT,62910,97526
3,Nuclear,ArgTCG,70781,131477
3,Nuclear,ArgTCT,88112,55514
3,Nuclear,AsnGTT,73166,86216
3,Nuclear,AspGTC,290487,363346
3,Nuclear,CysGCA,22304,18309
3,Nuclear,GlnCTG,110674,113519
3,Nuclear,GlnTTG,49685,96001
3,Nuclear,GluCTC,113731,60110
3,Nuclear,GluTTC,111495,78014
3,Nuclear,GlyCCC,51937,62918
3,Nuclear,GlyGCC,242146,194347
3,Nuclear,GlyTCC,44755,76213
3,Nuclear,HisGTG,34245,49706
3,Nuclear,IleAAT,93616,159170
3,Nuclear,IleTAT,11744,16012
3,Nuclear,LeuAAG,116824,122932
3,Nuclear,LeuCAA,60648,70698
3,Nuclear,LeuCAG,22668,24967
3,Nuclear,LeuTAA,26115,31175
3,Nuclear,LeuTAG,99037,169999
3,Nuclear,LysCTT,203260,219272
3,Nuclear,LysTTT,52639,41368
3,Nuclear,Met(e)CAT,44408,65770
3,Nuclear,Met(i)CAT,2811,3203
3,Nuclear,PheGAA,55907,79484
3,Nuclear,ProAGG,118901,47308
3,Nuclear,ProCGG,41080,21799
3,Nuclear,ProTGG,105116,55881
3,Nuclear,SerAGA,21059,37891
3,Nuclear,SerCGA,11718,22768
3,Nuclear,SerGCT,70718,80168
3,Nuclear,SerTGA,10369,27646
3,Nuclear,ThrAGT,38877,44060
3,Nuclear,ThrCGT,93075,128945
3,Nuclear,ThrTGT,90649,108346
3,Nuclear,TrpCCA,208383,455014
3,Nuclear,TyrGTA,238273,130947
3,Nuclear,ValAAC,19334,42169
3,Nuclear,ValCAC,13923,22050
3,Nuclear,ValTAC,23005,29298
3,Plastid,AlaTGC,127524,154835
3,Plastid,ArgACG,77405,101319
3,Plastid,ArgTCT,32427,21505
3,Plastid,AsnGTT,183500,66389
3,Plastid,AspGTC,89279,99781
3,Plastid,CysGCA,57967,27110
3,Plastid,GlnTTG,65016,38563
3,Plastid,GluTTC,293399,162550
3,Plastid,GlyGCC,70118,23675
3,Plastid,GlyTCC,43222,21559
3,Plastid,HisGTG,234115,147797
3,Plastid,IleCAT,27066,27221
3,Plastid,IleGAT,138574,182847
3,Plastid,LeuCAA,54421,48638
3,Plastid,LeuTAA,60730,49866
3,Plastid,LeuTAG,85937,48547
3,Plastid,LysTTT,17554,19211
3,Plastid,Met(e)CAT,29963,18691
3,Plastid,Met(i)CAT,8420,4400
3,Plastid,PheGAA,48601,31026
3,Plastid,ProTGG,26973,16642
3,Plastid,SerGCT,41096,12500
3,Plastid,SerGGA,35984,18938
3,Plastid,SerTGA,82517,30737
3,Plastid,ThrGGT,90833,53832
3,Plastid,ThrTGT,42387,25216
3,Plastid,TrpCCA,8296,6887
3,Plastid,TyrGTA,168422,117653
3,Plastid,ValGAC,6390,3218
3,Plastid,ValTAC,18016,11597
