Ref_tRNA,Genome,Count_Type,Trt,Acid_Phenol,Trizol
nuclear-Ath-SerTGA-171793,Nuclear,CCA,Periodate Oxidation,0.342707746,0.384630473
nuclear-Ath-SerTGA-171793,Nuclear,Non-CC/CCA,Control,0.455058913,0.45379575
nuclear-Ath-SerTGA-171793,Nuclear,Non-CC/CCA,Periodate Oxidation,0.639417397,0.65975676
nuclear-Ath-SerTGA-171792,Nuclear,CCA,Control,0.476023572,0.54124869
nuclear-Ath-SerTGA-171792,Nuclear,CCA,Periodate Oxidation,0.305130834,0.352885656
nuclear-Ath-SerTGA-171792,Nuclear,Non-CC/CCA,Control,0.488120393,0.495047693
nuclear-Ath-SerTGA-171792,Nuclear,Non-CC/CCA,Periodate Oxidation,0.674951366,0.679297557
nuclear-Ath-SerTGA-171784,Nuclear,CCA,Control,0.501710408,0.553296958
nuclear-Ath-SerTGA-171784,Nuclear,CCA,Periodate Oxidation,0.377530719,0.426866115
nuclear-Ath-SerTGA-171784,Nuclear,Non-CC/CCA,Control,0.498496843,0.474685717
nuclear-Ath-SerTGA-171784,Nuclear,Non-CC/CCA,Periodate Oxidation,0.665295761,0.683593742
nuclear-Ath-SerTGA-171783,Nuclear,CCA,Control,0.467469801,0.550825282
nuclear-Ath-SerTGA-171783,Nuclear,CCA,Periodate Oxidation,0.321114154,0.37888387
nuclear-Ath-SerTGA-171783,Nuclear,Non-CC/CCA,Control,0.385314886,0.397817863
nuclear-Ath-SerTGA-171783,Nuclear,Non-CC/CCA,Periodate Oxidation,0.624091897,0.621734272
nuclear-Ath-SerGCT-183752,Nuclear,CCA,Control,0.706614307,0.706957695
nuclear-Ath-SerGCT-183752,Nuclear,CCA,Periodate Oxidation,0.506702997,0.562842581
nuclear-Ath-SerGCT-183752,Nuclear,Non-CC/CCA,Control,0.303512546,0.339914266
nuclear-Ath-SerGCT-183752,Nuclear,Non-CC/CCA,Periodate Oxidation,0.52823067,0.513920371
nuclear-Ath-SerGCT-183728,Nuclear,CCA,Control,0.700417482,0.722277871
nuclear-Ath-SerGCT-183728,Nuclear,CCA,Periodate Oxidation,0.595598219,0.602695503
nuclear-Ath-SerGCT-183728,Nuclear,Non-CC/CCA,Control,0.335122385,0.359196192
nuclear-Ath-SerGCT-183728,Nuclear,Non-CC/CCA,Periodate Oxidation,0.532537036,0.531062748
nuclear-Ath-SerGCT-171800,Nuclear,CCA,Control,0.711364762,0.726062711
nuclear-Ath-SerGCT-171800,Nuclear,CCA,Periodate Oxidation,0.557696855,0.571408277
nuclear-Ath-SerGCT-171800,Nuclear,Non-CC/CCA,Control,0.298484248,0.334802129
nuclear-Ath-SerGCT-171800,Nuclear,Non-CC/CCA,Periodate Oxidation,0.477859389,0.483859993
nuclear-Ath-SerGCT-171798,Nuclear,CCA,Control,0.706380337,0.713849592
nuclear-Ath-SerGCT-171798,Nuclear,CCA,Periodate Oxidation,0.552197983,0.581218771
nuclear-Ath-SerGCT-171798,Nuclear,Non-CC/CCA,Control,0.295873434,0.332053868
nuclear-Ath-SerGCT-171798,Nuclear,Non-CC/CCA,Periodate Oxidation,0.470095998,0.478250753
nuclear-Ath-SerGCT-171797,Nuclear,CCA,Control,0.724301123,0.733201953
nuclear-Ath-SerGCT-171797,Nuclear,CCA,Periodate Oxidation,0.513372866,0.54244563
nuclear-Ath-SerGCT-171797,Nuclear,Non-CC/CCA,Control,0.256073084,0.276653008
nuclear-Ath-SerGCT-171797,Nuclear,Non-CC/CCA,Periodate Oxidation,0.520301002,0.525109394
nuclear-Ath-SerGCT-171796,Nuclear,CCA,Control,0.712883911,0.723374801
nuclear-Ath-SerGCT-171796,Nuclear,CCA,Periodate Oxidation,0.531059455,0.572538764
nuclear-Ath-SerGCT-171796,Nuclear,Non-CC/CCA,Control,0.287680401,0.337256569
nuclear-Ath-SerGCT-171796,Nuclear,Non-CC/CCA,Periodate Oxidation,0.502304081,0.501442226
nuclear-Ath-SerCGA-171794,Nuclear,CCA,Control,0.552828338,0.601382174
nuclear-Ath-SerCGA-171794,Nuclear,CCA,Periodate Oxidation,0.385409825,0.444016362
nuclear-Ath-SerCGA-171794,Nuclear,Non-CC/CCA,Control,0.431912251,0.420161559
nuclear-Ath-SerCGA-171794,Nuclear,Non-CC/CCA,Periodate Oxidation,0.631614231,0.628204269
nuclear-Ath-SerCGA-171785,Nuclear,CCA,Control,0.565968788,0.598605526
nuclear-Ath-SerCGA-171785,Nuclear,CCA,Periodate Oxidation,0.404914232,0.449367658
nuclear-Ath-SerCGA-171785,Nuclear,Non-CC/CCA,Control,0.481554836,0.461563235
nuclear-Ath-SerCGA-171785,Nuclear,Non-CC/CCA,Periodate Oxidation,0.66654072,0.65808676
nuclear-Ath-SerCGA-171782,Nuclear,CCA,Control,0.55095072,0.553751165
nuclear-Ath-SerCGA-171782,Nuclear,CCA,Periodate Oxidation,0.373504338,0.405540812
nuclear-Ath-SerCGA-171782,Nuclear,Non-CC/CCA,Control,0.502560135,0.491806342
nuclear-Ath-SerCGA-171782,Nuclear,Non-CC/CCA,Periodate Oxidation,0.707887299,0.712372296
nuclear-Ath-SerAGA-183759,Nuclear,CCA,Control,0.550429318,0.585184138
nuclear-Ath-SerAGA-183759,Nuclear,CCA,Periodate Oxidation,0.421147308,0.456009383
nuclear-Ath-SerAGA-183759,Nuclear,Non-CC/CCA,Control,0.794212382,0.781146023
nuclear-Ath-SerAGA-183759,Nuclear,Non-CC/CCA,Periodate Oxidation,0.816802195,0.822951126
nuclear-Ath-SerAGA-183750,Nuclear,CCA,Control,0.641084619,0.730637697
nuclear-Ath-SerAGA-183750,Nuclear,CCA,Periodate Oxidation,0.501461589,0.548301254
nuclear-Ath-SerAGA-183750,Nuclear,Non-CC/CCA,Control,0.399745239,0.34600761
nuclear-Ath-SerAGA-183750,Nuclear,Non-CC/CCA,Periodate Oxidation,0.554304914,0.544858481
nuclear-Ath-SerAGA-171813,Nuclear,CCA,Control,0.570451764,0.625212775
nuclear-Ath-SerAGA-171813,Nuclear,CCA,Periodate Oxidation,0.418072828,0.474222179
nuclear-Ath-SerAGA-171813,Nuclear,Non-CC/CCA,Control,0.812864042,0.801076672
nuclear-Ath-SerAGA-171813,Nuclear,Non-CC/CCA,Periodate Oxidation,0.834356598,0.84091676
nuclear-Ath-SerAGA-171812,Nuclear,CCA,Control,0.566860616,0.599746456
nuclear-Ath-SerAGA-171812,Nuclear,CCA,Periodate Oxidation,0.378915261,0.428851446
nuclear-Ath-SerAGA-171812,Nuclear,Non-CC/CCA,Control,0.821756077,0.823148193
nuclear-Ath-SerAGA-171812,Nuclear,Non-CC/CCA,Periodate Oxidation,0.878074421,0.884537363
nuclear-Ath-ProTGG-171744,Nuclear,CCA,Control,0.868749853,0.879863419
nuclear-Ath-ProTGG-171744,Nuclear,CCA,Periodate Oxidation,0.622727791,0.655481621
nuclear-Ath-ProTGG-171744,Nuclear,Non-CC/CCA,Control,0.224677088,0.226612693
nuclear-Ath-ProTGG-171744,Nuclear,Non-CC/CCA,Periodate Oxidation,0.582288961,0.566060843
nuclear-Ath-ProTGG-171741,Nuclear,CCA,Control,0.88478451,0.892789204
nuclear-Ath-ProTGG-171741,Nuclear,CCA,Periodate Oxidation,0.638941304,0.668151021
nuclear-Ath-ProTGG-171741,Nuclear,Non-CC/CCA,Control,0.263224041,0.257775575
nuclear-Ath-ProTGG-171741,Nuclear,Non-CC/CCA,Periodate Oxidation,0.623043363,0.61877851
nuclear-Ath-ProCGG-171761,Nuclear,CCA,Control,0.867085722,0.87462969
nuclear-Ath-ProCGG-171761,Nuclear,CCA,Periodate Oxidation,0.610175925,0.634997326
nuclear-Ath-ProCGG-171761,Nuclear,Non-CC/CCA,Control,0.324442481,0.322408308
nuclear-Ath-ProCGG-171761,Nuclear,Non-CC/CCA,Periodate Oxidation,0.716365703,0.708750035
nuclear-Ath-ProCGG-171760,Nuclear,CCA,Control,0.86663216,0.878251792
nuclear-Ath-ProCGG-171760,Nuclear,CCA,Periodate Oxidation,0.595511207,0.63430115
nuclear-Ath-ProCGG-171760,Nuclear,Non-CC/CCA,Control,0.323311345,0.329407715
nuclear-Ath-ProCGG-171760,Nuclear,Non-CC/CCA,Periodate Oxidation,0.717449861,0.707768682
nuclear-Ath-ProAGG-171743,Nuclear,CCA,Control,0.87907628,0.88854444
nuclear-Ath-ProAGG-171743,Nuclear,CCA,Periodate Oxidation,0.677239246,0.708445552
nuclear-Ath-ProAGG-171743,Nuclear,Non-CC/CCA,Control,0.183278959,0.182143835
nuclear-Ath-ProAGG-171743,Nuclear,Non-CC/CCA,Periodate Oxidation,0.440755052,0.430098582
nuclear-Ath-ProAGG-171738,Nuclear,CCA,Control,0.894686396,0.902216644
nuclear-Ath-ProAGG-171738,Nuclear,CCA,Periodate Oxidation,0.718695998,0.744298858
nuclear-Ath-ProAGG-171738,Nuclear,Non-CC/CCA,Control,0.193723799,0.20234242
nuclear-Ath-ProAGG-171738,Nuclear,Non-CC/CCA,Periodate Oxidation,0.438507598,0.43339263
nuclear-Ath-ProAGG-171737,Nuclear,CCA,Control,0.882328702,0.890983384
nuclear-Ath-ProAGG-171737,Nuclear,CCA,Periodate Oxidation,0.698277718,0.705827236
nuclear-Ath-ProAGG-171737,Nuclear,Non-CC/CCA,Control,0.221541836,0.221450147
nuclear-Ath-ProAGG-171737,Nuclear,Non-CC/CCA,Periodate Oxidation,0.490798447,0.487402601
nuclear-Ath-PheGAA-171718,Nuclear,CCA,Control,0.59373798,0.613556189
nuclear-Ath-PheGAA-171718,Nuclear,CCA,Periodate Oxidation,0.445616344,0.442384421
nuclear-Ath-PheGAA-171718,Nuclear,Non-CC/CCA,Control,0.409951152,0.400963698
nuclear-Ath-PheGAA-171718,Nuclear,Non-CC/CCA,Periodate Oxidation,0.639298469,0.647918119
nuclear-Ath-LysTTT-183734,Nuclear,CCA,Control,0.835055664,0.851962871
nuclear-Ath-LysTTT-183734,Nuclear,CCA,Periodate Oxidation,0.626338028,0.670696937
nuclear-Ath-LysTTT-183734,Nuclear,Non-CC/CCA,Control,0.157516671,0.166302343
nuclear-Ath-LysTTT-183734,Nuclear,Non-CC/CCA,Periodate Oxidation,0.428655743,0.433567584
nuclear-Ath-LysTTT-171712,Nuclear,CCA,Control,0.808766035,0.832169165
nuclear-Ath-LysTTT-171712,Nuclear,CCA,Periodate Oxidation,0.624656105,0.659211377
nuclear-Ath-LysTTT-171712,Nuclear,Non-CC/CCA,Control,0.173803765,0.226653772
nuclear-Ath-LysTTT-171712,Nuclear,Non-CC/CCA,Periodate Oxidation,0.425165563,0.430346051
nuclear-Ath-LysTTT-171707,Nuclear,CCA,Control,0.820120454,0.854478186
nuclear-Ath-LysTTT-171707,Nuclear,CCA,Periodate Oxidation,0.607264574,0.672739768
nuclear-Ath-LysTTT-171707,Nuclear,Non-CC/CCA,Control,0.166967653,0.188426092
nuclear-Ath-LysTTT-171707,Nuclear,Non-CC/CCA,Periodate Oxidation,0.430388005,0.439682785
nuclear-Ath-LysCTT-171704,Nuclear,CCA,Control,0.769257603,0.794080419
nuclear-Ath-LysCTT-171704,Nuclear,CCA,Periodate Oxidation,0.539344936,0.571683651
nuclear-Ath-LysCTT-171704,Nuclear,Non-CC/CCA,Control,0.171573776,0.168517652
nuclear-Ath-LysCTT-171704,Nuclear,Non-CC/CCA,Periodate Oxidation,0.425309545,0.421921545
nuclear-Ath-LysCTT-171703,Nuclear,CCA,Control,0.728516374,0.761342824
nuclear-Ath-LysCTT-171703,Nuclear,CCA,Periodate Oxidation,0.52161904,0.563549876
nuclear-Ath-LysCTT-171703,Nuclear,Non-CC/CCA,Control,0.254813436,0.257038671
nuclear-Ath-LysCTT-171703,Nuclear,Non-CC/CCA,Periodate Oxidation,0.486418303,0.494907949
nuclear-Ath-LeuTAG-171685,Nuclear,CCA,Control,0.688885243,0.724994878
nuclear-Ath-LeuTAG-171685,Nuclear,CCA,Periodate Oxidation,0.438663267,0.475482433
nuclear-Ath-LeuTAG-171685,Nuclear,Non-CC/CCA,Control,0.458452014,0.449208815
nuclear-Ath-LeuTAG-171685,Nuclear,Non-CC/CCA,Periodate Oxidation,0.754368445,0.747748575
nuclear-Ath-LeuTAG-171675,Nuclear,CCA,Control,0.695686886,0.716612509
nuclear-Ath-LeuTAG-171675,Nuclear,CCA,Periodate Oxidation,0.433646105,0.475966477
nuclear-Ath-LeuTAG-171675,Nuclear,Non-CC/CCA,Control,0.415862163,0.409554469
nuclear-Ath-LeuTAG-171675,Nuclear,Non-CC/CCA,Periodate Oxidation,0.734575823,0.7226145
nuclear-Ath-LeuTAG-171673,Nuclear,CCA,Control,0.700194278,0.730472956
nuclear-Ath-LeuTAG-171673,Nuclear,CCA,Periodate Oxidation,0.434810193,0.482838185
nuclear-Ath-LeuTAG-171673,Nuclear,Non-CC/CCA,Control,0.481211661,0.471363316
nuclear-Ath-LeuTAG-171673,Nuclear,Non-CC/CCA,Periodate Oxidation,0.769102886,0.764223133
nuclear-Ath-LeuTAA-171791,Nuclear,CCA,Control,0.672119115,0.7215623
nuclear-Ath-LeuTAA-171791,Nuclear,CCA,Periodate Oxidation,0.427947377,0.503608811
nuclear-Ath-LeuTAA-171791,Nuclear,Non-CC/CCA,Control,0.310342654,0.292809972
nuclear-Ath-LeuTAA-171791,Nuclear,Non-CC/CCA,Periodate Oxidation,0.546589333,0.532964131
nuclear-Ath-LeuTAA-171699,Nuclear,CCA,Control,0.714989431,0.749214207
nuclear-Ath-LeuTAA-171699,Nuclear,CCA,Periodate Oxidation,0.521578821,0.56449095
nuclear-Ath-LeuTAA-171699,Nuclear,Non-CC/CCA,Control,0.44777811,0.422181564
nuclear-Ath-LeuTAA-171699,Nuclear,Non-CC/CCA,Periodate Oxidation,0.608394196,0.583251442
nuclear-Ath-LeuTAA-171698,Nuclear,CCA,Control,0.720304467,0.747162293
nuclear-Ath-LeuTAA-171698,Nuclear,CCA,Periodate Oxidation,0.515503887,0.556588516
nuclear-Ath-LeuTAA-171698,Nuclear,Non-CC/CCA,Control,0.449953982,0.416642283
nuclear-Ath-LeuTAA-171698,Nuclear,Non-CC/CCA,Periodate Oxidation,0.593922745,0.577297199
nuclear-Ath-LeuCAG-171781,Nuclear,CCA,Control,0.712430041,0.745961098
nuclear-Ath-LeuCAG-171781,Nuclear,CCA,Periodate Oxidation,0.507709146,0.560649899
nuclear-Ath-LeuCAG-171781,Nuclear,Non-CC/CCA,Control,0.43768021,0.415608716
nuclear-Ath-LeuCAG-171781,Nuclear,Non-CC/CCA,Periodate Oxidation,0.642185762,0.617258239
nuclear-Ath-LeuCAA-183751,Nuclear,CCA,Control,0.730326342,0.741747524
nuclear-Ath-LeuCAA-183751,Nuclear,CCA,Periodate Oxidation,0.504293251,0.532785245
nuclear-Ath-LeuCAA-183751,Nuclear,Non-CC/CCA,Control,0.382977741,0.383641398
nuclear-Ath-LeuCAA-183751,Nuclear,Non-CC/CCA,Periodate Oxidation,0.617536559,0.57932071
nuclear-Ath-LeuCAA-171790,Nuclear,CCA,Control,0.794162385,0.826079129
nuclear-Ath-LeuCAA-171790,Nuclear,CCA,Periodate Oxidation,0.542349774,0.610895194
nuclear-Ath-LeuCAA-171790,Nuclear,Non-CC/CCA,Control,0.350140718,0.31916591
nuclear-Ath-LeuCAA-171790,Nuclear,Non-CC/CCA,Periodate Oxidation,0.632374348,0.605290682
nuclear-Ath-LeuCAA-171789,Nuclear,CCA,Control,0.781734845,0.806116508
nuclear-Ath-LeuCAA-171789,Nuclear,CCA,Periodate Oxidation,0.545204416,0.599045873
